symbol,exchange,from_symbol
MANPASAND,NONE,MANPASAND
MANYAVAR,NSE,MANYAVAR
MAPMYINDIA,NSE,MAPMYINDIA
MARALOVER,NSE,MARALOVER
MARICO,NSE,MARICO
MARKSANS,NSE,MARKSANS
MARUTI,NSE,MARUTI
MASFIN,NSE,MASFIN
MASTEK,NSE,MASTEK
MATRIXLABS,NONE,MATRIXLABS
MAXHEALTH,NSE,MAXHEALTH
MAXIND,NSE,MAXIND
MAYURUNIQ,NSE,MAYURUNIQ
MAZDOCK,NSE,MAZDOCK
MBLINFRA,NSE,MBLINFRA
MCLEODRUSS,NSE,MCLEODRUSS
MCX,NSE,MCX
MEDANTA,NSE,MEDANTA
MEDPLUS,NSE,MEDPLUS
MEESHO,NSE,MEESHO
MELSTAR,NONE,MELSTAR
MERCATOR,NONE,MERCATOR
METALFORGE,NONE,METALFORGE
METROBRAND,NSE,METROBRAND
METROPOLIS,NSE,METROPOLIS
MFSL,NSE,MFSL
MGL,NSE,MGL
MHRIL,NSE,MHRIL
MICRO,NONE,MICRO
MIDHANI,NSE,MIDHANI
MINDACORP,NSE,MINDACORP
MINDTREE,NONE,MINDTREE
ONIDA,NSE,MIRCELECTR
MIRZAINT,NSE,MIRZAINT
MLL,NONE,MLL
MMTC,NSE,MMTC
MODIRUBBER,NSE,MODIRUBBER
MODTHREAD,NSE,MODTHREAD
MOIL,NSE,MOIL
MONNETISPA,NONE,MONNETISPA
MONSANTO,NONE,MONSANTO
MOREPENLAB,NSE,MOREPENLAB
MOSERBAER,NONE,MOSERBAER
MOTHERSON,NSE,MOTHERSUMI
MOTILALOFS,NSE,MOTILALOFS
MPHASIS,NSE,MPHASIS
MPSLTD,NSE,MPSLTD
MRF,NSE,MRF
UMIYA-MRO,NSE,MRO-TEK
MRPL,NSE,MRPL
MSUMI,NSE,MSUMI
MTARTECH,BSE,MTARTECH
MTEDUCARE,BSE,MTEDUCARE
MTNL,NSE,MTNL
MUKTAARTS,BSE,MUKTAARTS
MUNJALAU,NSE,MUNJALAU
MUNJALSHOW,NSE,MUNJALSHOW
MUTHOOTFIN,NSE,MUTHOOTFIN
MVL,NONE,MVL
MYSOREBANK,NONE,MYSOREBANK
NAGARFERT,NONE,NAGARFERT
NAHARINDUS,NSE,NAHARINDUS
NAHARPOLY,NSE,NAHARPOLY
NAHARSPING,NSE,NAHARSPING
NAM-INDIA,NSE,NAM-INDIA
NARMDCHEMA,NONE,NARMDCHEMA
NATCOPHARM,NSE,NATCOPHARM
NATIONALUM,NSE,NATIONALUM
NAUKRI,NSE,NAUKRI
NAVA,NSE,NBVENTURES
NAVINFLUOR,NSE,NAVINFLUOR
NAVKARCORP,NSE,NAVKARCORP
NAVNETEDUL,NSE,NAVNETEDUL
NAZARA,NSE,NAZARA
NBCC,NSE,NBCC
NCC,NSE,NCC
NDTV,NSE,NDTV
NELCO,NSE,NELCO
NEPCMICON,NONE,NEPCMICON
NESCO,NSE,NESCO
NESTLEIND,NSE,NESTLEIND
NETWEB,NSE,NETWEB
NETWORK18,NSE,NETWORK18
NEULANDLAB,NSE,NEULANDLAB
NEWGEN,NSE,NEWGEN
NEXTMEDIA,NSE,NEXTMEDIA
NFL,NSE,NFL
NH,NSE,NH
NHPC,NSE,NHPC
NIACL,NSE,NIACL
NICOLASPIR,NONE,NICOLASPIR
NIITLTD,NSE,NIITLTD
NILKAMAL,NSE,NILKAMAL
NIRMA,NONE,NIRMA
NITINFIRE,NONE,NITINFIRE
NIVABUPA,NSE,NIVABUPA
NLCINDIA,NSE,NLCINDIA
NMDC,NSE,NMDC
NOCIL,NSE,NOCIL
NOIDATOLL,NSE,NOIDATOLL
NOVAPETRO,NONE,NOVAPETRO
NOVARTIND,NSE,NOVARTIND
NPL,BSE,NPL
NRBBEARING,NSE,NRBBEARING
NSLNISP,NSE,NSLNISP
NTPC,NSE,NTPC
NTPCGREEN,NSE,NTPCGREEN
NUVAMA,NSE,NUVAMA
NUVOCO,NSE,NUVOCO
NYKAA,NSE,NYKAA
OBEROIRLTY,NSE,OBEROIRLTY
OCL,NONE,OCL
OENCONNECT,NONE,OENCONNECT
OFSS,NSE,OFSS
OIL,NSE,OIL
OILCOUNTUB,BSE,OILCOUNTUB
OLAELEC,NSE,OLAELEC
OLECTRA,NSE,OLECTRA
OMAXAUTO,NSE,OMAXAUTO
OMAXE,NSE,OMAXE
ONELIFECAP,BSE,ONELIFECAP
ONESOURCE,NSE,ONESOURCE
ONGC,NSE,ONGC
ONMOBILE,BSE,ONMOBILE
ONWARDTEC,NSE,ONWARDTEC
OPTOCIRCUI,NONE,OPTOCIRCUI
ORBITCORP,NONE,ORBITCORP
ORCHIDCHEM,NONE,ORCHIDCHEM
ORCHPHARMA,NSE,ORCHPHARMA
ORIENTBANK,NONE,ORIENTBANK
ORIENTCEM,NSE,ORIENTCEM
ORIENTELEC,NSE,ORIENTELEC
ORIENTHOT,NSE,ORIENTHOT
ORIENTINFO,NONE,ORIENTINFO
ORIENTPPR,NSE,ORIENTPPR
ORISSAMINE,NSE,ORISSAMINE
OSWALAGRO,NSE,OSWALAGRO
PAGEIND,NSE,PAGEIND
PANACEABIO,NSE,PANACEABIO
PARADEEP,NSE,PARADEEP
PARAGMILK,NSE,PARAGMILK
PAREKHPLAT,NONE,PAREKHPLAT
PARSVNATH,BSE,PARSVNATH
PATANJALI,NSE,PATANJALI
PATELENG,NSE,PATELENG
PATNI,NONE,PATNI
PATSPINLTD,BSE,PATSPINLTD
PAYTM,NSE,PAYTM
PCBL,NSE,PCBL
PCJEWELLER,NSE,PCJEWELLER
PENIND,NSE,PENIND
PENINLAND,NSE,PENINLAND
PENTACOMMU,NONE,PENTACOMMU
PENTSFWARE,NONE,PENTSFWARE
PERSISTENT,NSE,PERSISTENT
PETRONET,NSE,PETRONET
PFC,NSE,PFC
PFIZER,NSE,PFIZER
PFOCUS,NSE,PFOCUS
PFS,NSE,PFS
PGEL,NSE,PGEL
PGHH,NSE,PGHH
PGHL,NSE,PGHL
PHARMACIA,NONE,PHARMACIA
PHOENIXLTD,NSE,PHOENIXLTD
PHOENXINTL,NSE,PHOENXINTL
PIDILITIND,NSE,PIDILITIND
PIIND,NSE,PIIND
PINELABS,NSE,PINELABS
PIPAVAVDOC,NONE,PIPAVAVDOC
PIPAVAVYD,NONE,PIPAVAVYD
PIRAMALFIN,NSE,PIRAMALFIN
PNB,NSE,PNB
PNBGILTS,NSE,PNBGILTS
PNBHOUSING,NSE,PNBHOUSING
PNC,NSE,PNC
PNCINFRA,NSE,PNCINFRA
POLARIS,NONE,POLARIS
POLICYBZR,NSE,POLICYBZR
POLYCAB,NSE,POLYCAB
POLYMED,NSE,POLYMED
POLYPLEX,NSE,POLYPLEX
POWERGRID,NSE,POWERGRID
POWERINDIA,NSE,POWERINDIA
PPLPHARMA,NSE,PPLPHARMA
PRAJIND,NSE,PRAJIND
PRAKASH,NSE,PRAKASH
PREMIER,BSE,PREMIER
PREMIERENE,NSE,PREMIERENE
PRESTIGE,NSE,PRESTIGE
FELDVR,BSE,PRETAILDVR
PRICOLLTD,NSE,PRICOLLTD
PRIMESECU,NSE,PRIMESECU
PRINCEPIPE,NSE,PRINCEPIPE
PRIVISCL,NSE,PRIVISCL
PROVOGUE,NONE,PROVOGUE
PRSMJOHNSN,NSE,PRSMJOHNSN
PSL,NONE,PSL
PSPPROJECT,NSE,PSPPROJECT
PTC,NSE,PTC
PTCIL,NSE,PTCIL
PUNJABCHEM,NSE,PUNJABCHEM
PUNJABTRAC,NONE,PUNJABTRAC
PUNJCOMMU,BSE,PUNJCOMMU
PUNJLLOYD,NONE,PUNJLLOYD
PURVA,NSE,PURVA
PVP,NSE,PVP
PVRINOX,NSE,PVRINOX
PWL,NSE,PWL
QUESS,NSE,QUESS
RADICO,NSE,RADICO
RAILTEL,NSE,RAILTEL
RAIN,NSE,RAIN
RAINBOW,NSE,RAINBOW
RAINCALCIN,NONE,RAINCALCIN
RAJESHEXPO,BSE,RAJESHEXPO
RAJTV,NSE,RAJTV
RALLIS,NSE,RALLIS
RAMANEWS,NSE,RAMANEWS
RAMCOCEM,NSE,RAMCOCEM
RAMCOIND,NSE,RAMCOIND
RAMCOSYS,NSE,RAMCOSYS
RAMKY,NSE,RAMKY
RANBAXY,NONE,RANBAXY
RANEBRAKE,NONE,RANEBRAKE
RASOYPR,NONE,RASOYPR
RATNAMANI,NSE,RATNAMANI
RAYMOND,NSE,RAYMOND
RAYMONDLSL,NSE,RAYMONDLSL
RBA,NSE,RBA
RBLBANK,NSE,RBLBANK
RCF,NSE,RCF
RCOM,BSE,RCOM
RDEL,BSE,RDEL
RECLTD,NSE,RECLTD
REDINGTON,NSE,REDINGTON
REGENCERAM,NSE,REGENCERAM
REIAGRO,NONE,REIAGRO
REIAGROLTD,NONE,REIAGROLTD
REISIXTEN,NONE,REISIXTEN
RELAXO,NSE,RELAXO
RELCAPITAL,NONE,RELCAPITAL
RELIANCE,NSE,RELIANCE
RELIGARE,NSE,RELIGARE
RELINFRA,BSE,RELINFRA
RELMEDIA,NONE,RELMEDIA
RENUKA,NSE,RENUKA
REPCOHOME,NSE,REPCOHOME
RESPONIND,NSE,RESPONIND
REVL,NONE,REVL
RHFL,BSE,RHFL
RHIM,NSE,RHIM
RICOAUTO,NSE,RICOAUTO
RIIL,NSE,RIIL
RITES,NSE,RITES
RKFORGE,NSE,RKFORGE
RNAVAL,NONE,RNAVAL
RNRL,NONE,RNRL
ROLTA,NONE,ROLTA
ROSSARI,NSE,ROSSARI
ROUTE,NSE,ROUTE
RPGLS,NONE,RPGLS
RPGTELECOM|RPGCABLES,NONE,RPGTELECOM|RPGCABLES
RPL,NONE,RPL
RPOWER,NSE,RPOWER
RRKABEL,NSE,RRKABEL
RSSOFTWARE,NSE,RSSOFTWARE
RSWM,BSE,RSWM
RTNINDIA,NSE,RTNINDIA
RTNPOWER,NSE,RTNPOWER
RUBICON,NSE,RUBICON
RUCHISOYA,NONE,RUCHISOYA
RUPA,NSE,RUPA
RUSTOMJEE,NSE,RUSTOMJEE
RVNL,NSE,RVNL
SADBHAV,NSE,SADBHAV
SADBHIN,BSE,SADBHIN
SAFARI,NSE,SAFARI
SAGILITY,NSE,SAGILITY
SAIL,NSE,SAIL
SAILIFE,NSE,SAILIFE
SAKHTISUG,NSE,SAKHTISUG
SALORAINTL,BSE,SALORAINTL
SAMMAANCAP,NSE,SAMMAANCAP
SAMTEL,NONE,SAMTEL
SANDESH,NSE,SANDESH
SANSERA,NSE,SANSERA
SAPPHIRE,NSE,SAPPHIRE
SARDAEN,NSE,SARDAEN
SAREGAMA,NSE,SAREGAMA
SATYAMCOMP,NONE,SATYAMCOMP
SAURASHCEM,NSE,SAURASHCEM
SB&TINTL,NONE,SB&TINTL
SBBJ,NONE,SBBJ
SBFC,NSE,SBFC
SBICARD,NSE,SBICARD
SBILIFE,NSE,SBILIFE
SBIN,NSE,SBIN
SBT,NONE,SBT
SCHAEFFLER,NSE,SCHAEFFLER
SCHNEIDER,NSE,SCHNEIDER
SCI,NSE,SCI
SEAMECLTD,NSE,SEAMECLTD
SEARLEIND,NONE,SEARLEIND
PAISALO,NSE,SEINV
VIYASH,NSE,SEQUENT
SESHAPAPER,NSE,SESHAPAPER
SFCL,NONE,SFCL
SFL,NSE,SFL
SHANKARA,NSE,SHANKARA
SHANTIGEAR,NSE,SHANTIGEAR
SHARDACROP,NSE,SHARDACROP
SHASUNCHEM,NONE,SHASUNCHEM
SHASUNPHAR,NONE,SHASUNPHAR
SHILPAMED,NSE,SHILPAMED
SHILPI,NONE,SHILPI
SHK,NSE,SHK
SHLAKSHMI,NONE,SHLAKSHMI
SHOPERSTOP,NSE,SHOPERSTOP
SHREEASHTA,NONE,SHREEASHTA
SHREECEM,NSE,SHREECEM
SHREERAMA,NSE,SHREERAMA
SHRENUJ,NONE,SHRENUJ
SHRIPISTON,NSE,SHRIPISTON
SHRIRAMCIT,NONE,SHRIRAMCIT
SHRIRAMFIN,NSE,SHRIRAMFIN
SHYAMMETL,NSE,SHYAMMETL
SHYAMTEL,NSE,SHYAMTEL
SIEMENS,NSE,SIEMENS
SIGNATURE,NSE,SIGNATURE
SIMPLEXINF,NSE,SIMPLEXINF
SINTEX,NONE,SINTEX
SIRPAPER,NONE,SIRPAPER
SIS,NSE,SIS
SITINET,BSE,SITINET
SJVN,NSE,SJVN
SKFINDIA,NSE,SKFINDIA
SKSMICRO,NONE,SKSMICRO
SKUMARSYNF,NONE,SKUMARSYNF
SMLMAH,NSE,SWARAJMAZD
SNOWCEMIND,NONE,SNOWCEMIND
SNOWMAN,NSE,SNOWMAN
SOBHA,NSE,SOBHA
SOLARA,NSE,SOLARA
SOLARINDS,NSE,SOLARINDS
SOMANYCERA,NSE,SOMANYCERA
SONACOMS,NSE,SONACOMS
SONASTEER|JTEKTINDIA,NONE,SONASTEER|JTEKTINDIA
SONATSOFTW,NSE,SONATSOFTW
SOUTHBANK,NSE,SOUTHBANK
SPANDANA,NSE,SPANDANA
SPARC,NSE,SPARC
SPIC,NSE,SPIC
SPICEJET,BSE,SPICEJET
SPICETELE,NONE,SPICETELE
SPLPETRO,NSE,SPLPETRO
SPSL,BSE,SPSL
SPTL,NONE,SPTL
SQRDSFWARE,NONE,SQRDSFWARE
SREINFRA,NONE,SREINFRA
SREINTFIN,NONE,SREINTFIN
SRF,NSE,SRF
SRIADIKARI,NONE,SRIADIKARI
SRIPIPES,NONE,SRIPIPES
STAR,NSE,STAR
STARCEMENT,NSE,STARCEMENT
STARHEALTH,NSE,STARHEALTH
STCINDIA,NSE,STCINDIA
STER,NONE,STER
STERLINBIO,NONE,STERLINBIO
STLTECH,BSE,STLTECH
SUBROS,NSE,SUBROS
SUDARSCHEM,NSE,SUDARSCHEM
SUJANATOW,NONE,SUJANATOW
SUMICHEM,NSE,SUMICHEM
SUNCLAY,NSE,SUNCLAY
TVSHLTD,NSE,SUNCLAYLTD
SUNDARMFIN,NSE,SUNDARMFIN
SUNDRMBRAK,BSE,SUNDRMBRAK
SUNDRMCLAY,NONE,SUNDRMCLAY
SUNDRMFAST,NSE,SUNDRMFAST
SUNPHARMA,NSE,SUNPHARMA
SUNTECK,NSE,SUNTECK
SUNTV,NSE,SUNTV
SUPPETRO,NONE,SUPPETRO
SUPRAJIT,NSE,SUPRAJIT
SUPREMEIND,NSE,SUPREMEIND
SUPREMEINF,NSE,SUPREMEINF
SURYALAXMI,NSE,SURYALAXMI
SURYAROSNI,NSE,SURYAROSNI
SUVEN,NSE,SUVEN
SUZLON,NSE,SUZLON
SWANCORP,NSE,SWANCORP
SWARAJENG,NSE,SWARAJENG
SWIGGY,NSE,SWIGGY
SWSOLAR,NSE,SWSOLAR
SYMPHONY,NSE,SYMPHONY
SYNDIBANK,NONE,SYNDIBANK
SYNGENE,NSE,SYNGENE
SYRMA,NSE,SYRMA
TAJGVK,NSE,TAJGVK
TAKE,NSE,TAKE
TANLA,NSE,TANLA
TARIL,NSE,TARIL
TASTYBITE,NSE,TASTYBITE
TATACAP,NSE,TATACAP
TATACHEM,NSE,TATACHEM
TATACOFFEE,NONE,TATACOFFEE
TATACOMM,NSE,VSNL
TATACONSUM,NSE,TATATEA
TATAELXSI,NSE,TATAELXSI
TATAFIN,NONE,TATAFIN
TATAINVEST,NSE,TATAINVEST
TATAMETALI,NONE,TATAMETALI
TATAMTRDVR,NONE,TATAMTRDVR
TATAPOWER,NSE,TATAPOWER
TATASPONGE,NONE,TATASPONGE
TATASPONGE|TATASTLLP,NONE,TATASPONGE|TATASTLLP
TATASTEEL,NSE,TATASTEEL
TATASTLBSL,NONE,TATASTLBSL
TATASTLLP,NONE,TATASTLLP
TATATECH,NSE,TATATECH
TATAVASHIS,NONE,TATAVASHIS
TBOTEK,NSE,TBOTEK
TBZ,NSE,TBZ
TCI,NSE,TCI
TCIEXP,NSE,TCIEXP
TCIIND,BSE,TCIIND
TCNSBRANDS,NONE,TCNSBRANDS
TCS,NSE,TCS
TDPOWERSYS,NSE,TDPOWERSYS
TEAMLEASE,NSE,TEAMLEASE
TECHM,NSE,TECHM
TECHNO,NONE,TECHNO
TECHNOE,NSE,TECHNOE
TEGA,NSE,TEGA
TEJASNET,NSE,TEJASNET
TENNIND,NSE,TENNIND
TEXRAIL,NSE,TEXRAIL
TFCILTD,NSE,TFCILTD
THANGAMAYL,NSE,THANGAMAYL
THELEELA,NSE,THELEELA
THERMAX,NSE,THERMAX
THIRUSUGAR,NONE,THIRUSUGAR
THOMASCOOK,NSE,THOMASCOOK
THYROCARE,NSE,THYROCARE
TI,NSE,TI
VEEDOL,NSE,TIDEWATER
TIINDIA,NSE,TIINDIA
TIMETECHNO,NSE,TIMETECHNO
TIMKEN,NSE,TIMKEN
TINPLATE,NONE,TINPLATE
TIPSMUSIC,NSE,TIPSINDLTD
TIRUMALCHM,NSE,TIRUMALCHM
TITAGARH,NSE,TITAGARH
TITAN,NSE,TITAN
TMB,NSE,TMB
TMCV,NSE,TMCV
TMPV,NSE,TMPV
TNPETRO,NSE,TNPETRO
TNPL,NSE,TNPL
TNTELE,NSE,TNTELE
TODAYS,NONE,TODAYS
TORNTPHARM,NSE,TORNTPHARM
TORNTPOWER,NSE,TORNTPOWER
TORRENTAEC,NONE,TORRENTAEC
TRANSPEK,BSE,TRANSPEK
TRAVELFOOD,NSE,TRAVELFOOD
TREEHOUSE,NSE,TREEHOUSE
TRENT,NSE,TRENT
TRIDENT,NSE,TRIDENT
TRIGYN,NSE,TRIGYN
TRITURBINE,NSE,TRITURBINE
TRIVENI,NSE,TRIVENI
TTKPRESTIG,NSE,TTKPRESTIG
TTML,NSE,TTML
TUBEINVEST,NONE,TUBEINVEST
TULIP,NONE,TULIP
TV-18,NONE,TV-18
TV18,NONE,TV18
TV18BRDCST,NONE,TV18BRDCST
TVSMOTOR,NSE,TVSMOTOR
TVSSCS,NSE,TVSSCS
TVSSRICHAK,NSE,TVSSRICHAK
TVTODAY,NSE,TVTODAY
UBHOLDINGS,NONE,UBHOLDINGS
UBL,NSE,UBL
UCAL,BSE,UCALFUEL
UCOBANK,NSE,UCOBANK
UFLEX,NSE,UFLEX
UJJIVAN,NONE,UJJIVAN
UJJIVANSFB,NSE,UJJIVANSFB
ULTRACEMCO,NSE,ULTRACEMCO
UNICHEMLAB,NSE,UNICHEMLAB
UNIONBANK,NSE,UNIONBANK
UNITDSPR,NSE,UNITDSPR
UNITECH,NSE,UNITECH
UNITEDBNK,NONE,UNITEDBNK
UNITY,NONE,UNITY
UNIWESTBNK,NONE,UNIWESTBNK
UNOMINDA,NSE,UNOMINDA
UPL,NSE,UPL
URBANCO,NSE,URBANCO
USHAMART,NSE,USHAMART
UTIAMC,NSE,UTIAMC
UTTAMSTL,NONE,UTTAMSTL
UTTAMSUGAR,NSE,UTTAMSUGAR
UTVSOF,NONE,UTVSOF
V2RETAIL,NSE,V2RETAIL
VAIBHAVGBL,NSE,VAIBHAVGBL
VAKRANGEE,NSE,VAKRANGEE
VALIANTORG,BSE,VALIANTORG
VALUEIND,NONE,VALUEIND
VAML,NSE,VAML
VARDMNPOLY,NSE,VARDMNPOLY
VARROC,NSE,VARROC
VARUNSHIP,NONE,VARUNSHIP
VBL,NSE,VBL
VDOCONAPPL,NONE,VDOCONAPPL
VDOCONINTL,NONE,VDOCONINTL
VEDL,NSE,VEDL
VEDPOWER,NSE,VEDPOWER
VENKEYS,NSE,VENKEYS
VENTIVE,NSE,VENTIVE
VESUVIUS,NSE,VESUVIUS
VGUARD,NSE,VGUARD
VHL,NSE,VHL
VIDEOIND,NONE,VIDEOIND
VIJAYA,NSE,VIJAYA
VIJAYABANK,NONE,VIJAYABANK
VIKASWSP,BSE,VIKASWSP
VINATIORGA,NSE,VINATIORGA
VINDHYATEL,NSE,VINDHYATEL
VINYLINDIA,NSE,VINYLINDIA
VIPIND,NSE,VIPIND
VISAKAIND,NSE,VISAKAIND
VISHALEXPO,NONE,VISHALEXPO
VISL,NSE,VISL
VISUALSOFT,NONE,VISUALSOFT
VIVIDHA,NSE,VIVIDHA
VLSFINANCE,NSE,VLSFINANCE
VMART,NSE,VMART
VMM,NSE,VMM
VOGL,NSE,VOGL
VOLTAS,NSE,VOLTAS
VRLLOG,NSE,VRLLOG
VSTIND,NSE,VSTIND
VTL,NSE,VTL
VYSYABANK,NONE,VYSYABANK
WAAREEENER,NSE,WAAREEENER
WABAG,NSE,WABAG
WARRENTEA,BSE,WARRENTEA
WELCORP,NSE,WELCORP
WELLWININD,NONE,WELLWININD
WELSPUNLIV,NSE,WELSPUNLIV
WESTLIFE,NSE,WESTLIFE
WHEELS,NSE,WHEELS
WHIRLPOOL,NSE,WHIRLPOOL
WINDMACHIN,NSE,WINDMACHIN
WIPRO,NSE,WIPRO
WOCKPHARMA,NSE,WOCKPHARMA
WONDERLA,NSE,WONDERLA
WSTCSTPAPR,NSE,WSTCSTPAPR
WYETH,NONE,WYETH
WYETHLEDE,NONE,WYETHLEDE
YESBANK,NSE,YESBANK
YOKOGAWA,NONE,YOKOGAWA
ZANDUPHARM,NONE,ZANDUPHARM
ZEEL,NSE,ZEETELE
ZEELEARN,BSE,ZEELEARN
ZEEMEDIA,NSE,ZEEMEDIA
ZENITHCOMP,NONE,ZENITHCOMP
ZENSARTECH,NSE,ZENSARTECH
ZENTEC,NSE,ZENTEC
ZFCVINDIA,NSE,ZFCVINDIA
ZODIACLOTH,NSE,ZODIACLOTH
ZUARIIND,NSE,ZUARIAGRO
ZYDUSLIFE,NSE,ZYDUSLIFE
ZYDUSWELL,NSE,ZYDUSWELL
